name,position,mlb_team,league_id,fantasy_team_id,fa_status
Dillon Head,OF,MIA,AA,,available
Hudson Head,OF,(N/A),AA,,available
Andrew Healy,SP,MIL,AA,,available
Ethan Hearn,"C,1B",CHC,AA,,available
Taylor Hearn,RP,(N/A),AA,,available
Jonathan Heasley,"SP,RP",KC,AA,,available
Chase Heath,C,STL,AA,,available
Jacob Heatherly,SP,(N/A),AA,,available
Duque Hebbert,RP,DET,AA,,available
Curtis Hebert,SS,HOU,AA,,available
Silvano Hechavarria,SP,TOR,AA,,available
Ethan Hedges,3B,COL,AA,,available
Luke Heefner,3B,(N/A),AA,,available
Dylan Heid,RP,BAL,AA,,available
Brayden Heidel,RP,TOR,AA,,available
Trevor Heishman,SP,DET,AA,,available
Josh Hejka,RP,(N/A),AA,,available
Ryder Helfrick,C,(N/A),AA,,available
Ben Heller,RP,CHC,AA,,available
Dominic Hellman,SS,(N/A),AA,,available
Lou Helmig,OF,(N/A),AA,,available
Clay Helvey,RP,(N/A),AA,,available
Heath Hembree,RP,(N/A),AA,,available
Max Hemenway,SS,(N/A),AA,,available
Ixan Henderson,SP,STL,AA,,available
Lash Henderson,OF,(N/A),AA,,available
Austin Hendrick,OF,CIN,AA,,available
Kyle Hendricks,SP,(N/A),AA,,available
Wyatt Hendrie,C,PIT,AA,,available
Ryan Hendrix,RP,KC,AA,,available
Brian Hendry,SP,NYY,AA,,available
Blair Henley,"SP,RP",(N/A),AA,,available
Kyle Henley,OF,CIN,AA,,available
J.D. Hennen,SP,BAL,AA,,available
Ryan Hennen,RP,(N/A),AA,,available
Jean Henriquez,RP,BAL,AA,,available
Juan Henriquez,SP,(N/A),AA,,available
Julio Henriquez,1B,MIA,AA,,available
Yonatan Henriquez,OF,NYM,AA,,available
Henry Henry,RP,(N/A),AA,,available
Payton Henry,C,NYY,AA,,available
Justin Henschel,SP,CIN,AA,,available
Wyatt Henseler,3B,WSH,AA,,available
Rob Hensey,SP,(N/A),AA,,available
David Hensley,"2B,OF",(N/A),AA,,available
Spencer Henson,1B,(N/A),AA,,available
