A t l a n t a   B r a v e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Sean,,,,MLB,,,29,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,"2024, 2025",,Payroll,,"169,090,000","108,350,000","110,200,000","63,500,000","69,000,000","57,500,000","77,500,000",0,0,0,0,0,0,0
,,,,Franchise Record,,,331-155,,,,Minors,,,72,,Status,,First,,Dead Money,,"28,250,000","21,500,000","16,100,000","8,100,000",0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,4,,Future Status,,Repeats,,Total Payroll,,"197,340,000","129,850,000","126,300,000","71,600,000","69,000,000","57,500,000","77,500,000",0,0,0,0,0,0,0
,,,,NL East Titles,,,3,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"39,660,000","111,150,000","117,700,000","172,400,000","175,000,000","186,500,000","166,500,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,2,,,,60 Day IL,,,0,,Restructure,,0,,Payroll % Active,,85.68%,83.44%,87.25%,88.69%,100.00%,100.00%,100.00%,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,14.32%,16.56%,12.75%,11.31%,0.00%,0.00%,0.00%,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-TB (25),,,C,Connor Wong,BOS,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,,,,,,,,,,,MiLB FA (22),,,C,Rodolfo Duran,NYY,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
