C o l o r a d o   R o c k i e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Dan/Andrew,,,,MLB,,,29,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,37,,Years Paid,,2024; 2025,,Payroll,,"230,595,000","108,600,000","51,100,000","25,600,000","25,600,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,183-303,,,,Minors,,,69,,Status,,1st Level,,Dead Money,,"13,250,000","13,250,000","13,250,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,9,,Future Status,,Repeats,,Total Payroll,,"243,845,000","121,850,000","64,350,000","25,600,000","25,600,000",0,0,0,0,0,0,0,0,0
,,,,NL West Titles,,,1,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"-6,845,000","119,150,000","179,650,000","218,400,000","218,400,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,94.57%,89.13%,79.41%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,5.43%,10.87%,20.59%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,C,Kyle Higashioka,TEX,"9,000,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-NYY (25),,,C,Hunter Goodman,COL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Tyler Stephenson,CIN,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (23),,,C,Adrian Sugastey,SF,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-BAL (22),,,1B,Spencer Torkelson,DET,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Jonathan India,CIN,ARB 3,UFA,,,,,,,,,,,,
