M i l w a u k e e   B r e w e r s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Matt,,,,MLB,,,24,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,34,,Years Paid,,,,Payroll,,"138,809,285","121,714,285","122,714,285","89,500,000","46,500,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,257-229,,,,Minors,,,93,,Status,,,,Dead Money,,"1,597,500",0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"140,406,785","121,714,285","122,714,285","89,500,000","46,500,000",0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"96,593,215","119,285,715","121,285,715","154,500,000","197,500,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,98.86%,100.00%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,1.14%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Inaugural Draft,,,C,Adrian Del Castillo,ARZ,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Bo Naylor,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,FYPD (22) Rd 5,,,1B,Tim Elko,CHW,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,24,25,,,,,,,,Trade-STL (22),,,2B,Tyler Black,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Rule V-SD (25),,,2B,Yunior Severino,MIN,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Jeremiah Jackson,LAA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,25,,,,,,,,,FYPD (22) Rd 3,,,SS,Chandler Simpson,TB,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Gavin Lux,CIN,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,0,24,25,,,,,,,,Trade-SEA (25),,,SS,Nick Allen,ATH,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAA (25),,,SS,Brooks Lee,MIN,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
