C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Mike,,,,MLB,,,32,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2025,,,,40 Man,,,40,,Years Paid,,,,Payroll,,"196,157,500","199,937,500","108,187,500","63,187,500","31,500,000","31,500,000","31,500,000",0,0,0,0,0,0,0
,,,,Franchise Record,,,166-320,,,,Minors,,,110,,Status,,,,Dead Money,,"8,805,000",0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"204,962,500","199,937,500","108,187,500","63,187,500","31,500,000","31,500,000","31,500,000",0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"32,037,500","41,062,500","135,812,500","180,812,500","212,500,000","212,500,000","212,500,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,95.70%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,"2025, 2026",,Payroll % Inactive,,4.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
