S t .   L o u i s   C a r d i n a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,MacKenzie Gore,WSH,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-LAD (24),,,SP,Carlos Rodon,NYY,"33,750,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-ATH (23),,,SP,Jameson Taillon,CHC,"19,380,000","19,380,000",UFA,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-CHC (25),,,SP,Gerrit Cole,NYY,"36,000,000","36,000,000","54,000,000",UFA,,,,,,,,,,
,X,,,,,0,23,24,25,,,,,,,MiLB FA (22),,,SP,Luis Ortiz,CLE,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CHC (25),,,SP,Michael Burrows,PIT,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (24),,,SP,Raimon Gomez,NYM,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (24) Rd 1,,,SP,Trey Yesavage,TOR,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,24,25,,,,,,,,Inaugural Draft,,,RP,Cole Sulser,TB,ARB 3,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CHC (25),,,RP,Brant Hurter,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,Trade-ARZ (24),,,RP,Bryse Wilson,PIT,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-ATL (24),,,RP,Joel Diaz,NYM,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-TOR (24),,,RP,Henry Williams,SD,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,RP,Andres Munoz,SEA,"1,875,000","1,875,000","1,875,000",UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (22),,,RP,Bryan Abreu,HOU,"8,260,000","8,260,000","8,260,000",UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,RP,Jhoan Duran,PHI,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,,25,,,,,,,,,Trade-SEA (25),,,RP,Max Lazar,PHI,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-CHC (25),,,RP,Ethan Roberts,CHC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-SEA (24),,,RP,Jake Madden,LAA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-SEA (25),,,RP,Sean Reynolds,SD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,24,25,,,,,,,,Trade-KC (23),,,RP,Angel Zerpa,KC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Rule 5 Eligibility,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 2,2027,,C,Caleb Lomavita,WSH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,C,Daiverson Gutierrez,NYM,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,C,Andrew Tess,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (22) Rd 4,2026,,C,Brooks Brannon,BOS,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,Exempt,,C,Ronaldo Hernandez ,BOS,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,C,Angelo Hernandez,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,C,Franklin Rojas,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,C,Gabriel Guanchez,SEA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 4,2028,,1B,Jared Jones,PIT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATH (23),2025,,2B,Cade Doughty,TOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),Exempt,,SS,Alexander Vargas,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2027,,SS,Ali Camarillo,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,SS,Elaineiker Coronado,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,SS,Yorvit Diaz,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,SS,Juan Rujano,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),2028,,SS,Curley Martha,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATL (24),2027,,SS,Daniel Mielcarek,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,SS,Jack Lines,TB,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,SS,Juan Cabada,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,SS,Ayden Johnson,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),2026,,SS,Alexis Hernandez,CHC,,,,,,,,,,,,,,
,X,,,,,0,24,,,,,,,,,Waive-SEA (25),Exempt,,SS,Alika Williams,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,SS,Abraham Nunez,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,SS,Ludwing Espinoza,CHC,,,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-ATH (24),Exempt,,SS,Geraldo Quintero,ATL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,SS,Maikol Orozco,DET,,,,,,,,,,,,,,
