TOLEDO MUD HENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Sean,,,,MLB,,,28,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,28,,Years Paid,,,Payroll,,"143,739,999","134,619,999","126,069,999","111,784,285","76,591,285","64,991,285","64,991,285","12,241,285",0,0,0,0,0
,,,,Franchise Record,,,76-39,,,,Minors,,,65,,Status,,,Dead Money,,"2,137,500",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,5,,Future Status,,,Total Payroll,,"145,877,499","134,619,999","126,069,999","111,784,285","76,591,285","64,991,285","64,991,285","12,241,285",0,0,0,0,0
,,,,NL Central Titles,,,1,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"95,122,501","109,380,001","117,930,001","132,215,715","167,408,715","179,008,715","179,008,715","231,758,715","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,1,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,98.53%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,1,,,,,,,,,,,,Payroll % Inactive,,1.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,,,C,Alejandro Kirk,TOR,"11,600,000","11,600,000","11,600,000","11,600,000","11,600,000",UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,,,C,Will Smith,LAD,"12,241,285","12,241,285","12,241,285","12,241,285","12,241,285","12,241,285","12,241,285","12,241,285",UFA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Andrew Vaughn,CHW,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Lenyn Sosa,CHW,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Brice Turang,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SS,Max Schuemann,OAK,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,SS,Ryan Bliss,SEA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Zach Neto,LAA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SS,Andruw Monasterio,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Mark Vientos,NYM,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Warming Bernabel,COL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Alec Burleson,STL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Byron Buxton,MIN,"14,285,714","14,285,714","14,285,714",UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Juan Soto,NYY,"46,500,000","46,500,000","46,500,000","46,500,000","46,500,000","46,500,000","46,500,000",UFA,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Lane Thomas,CLE,"11,737,500","11,737,500","11,737,500","11,737,500",UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Ceddanne Rafaela,BOS,"6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000",UFA,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Tarik Skubal,DET,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Andre Pallante,STL,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Brady Singer,KC,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Andrew Abbott,CIN,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Corbin Burnes,MIL,"23,455,500","23,455,500","23,455,500","23,455,500",UFA,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,,Quinn Priester,,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Tanner Scott,MIA,"8,550,000","8,550,000",UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Ian Gibaut,CIN,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Anthony Bender,MIA,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,P,Jake Irvin,WSH,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,SP,Angel Zerpa,KC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Matt Brash,SEA,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Gabriel Davalillo,LAA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Jared Thomas,COL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Andruw Monasterio,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,John Peck,(N/A),,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Chandler Pollard,TEX,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Billy Amick,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Kevin Bazzell,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,A.J. Vukovich,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Aaron Schunk,COL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Warren Calcano,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Liberts Aponte,CIN,,,,,,,,,,,,,
