NASHVILLE SOUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Edwin Uceta,TBR,"7,000,000","7,000,000","7,000,000","7,000,000",UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Evan Phillips,LAD,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Braydon Fisher,TOR,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,J.B. Bukauskas,MIL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Yeiner Fernandez,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Nick Montgomery,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Josh Caron,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Ryan Campos,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Jesus Galiz,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Almen Tolentino,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Rickardo Perez,PHI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Mason Guerra,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Griffin Doersching,SD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Livan Soto,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Dauri Fernandez,CLE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Kaelen Culpepper,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jake Gelof,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Carlos Colmenarez,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Fernando Cruz,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Mairoshendrick Martinus,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Sean McLain,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Marconi German,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Daniel Dickinson,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Noah Miller,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Sam Mongelli,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Haritzon Castillo,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Logan Wagner,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nick Biddison,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Hunter Bishop,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Josue De Paula,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kai Roberts,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Nathan Church,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Rodney Green,ATH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jaime Ferrer,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Brailer Guerrero,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Matthew Miura,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Pedro Ibarguen,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Anderson Fermin,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Chris Newell,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Luis Pino,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Cris Rodriguez,DET,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Heisell Baro,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Justin Chambers,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Davis Polo,ATL,,,,,,,,,,,,,
