LOUISVILLE BATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SP,David Festa,MIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Jeffrey Springs,ATH,"7,750,000","15,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Logan Gilbert,SEA,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Ty Madden,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Will Warren,NYY,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Cristian Javier,HOU,"12,800,000","12,800,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Aaron Ashby,MIL,"4,100,000","4,100,000","4,100,000","4,100,000",UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Javier Assad,CHC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Max Scherzer,TOR,"17,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Jeremiah Estrada,SD,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Angel Bastardo,BOS,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Brooks Brannon,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Miguel Rodriguez,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Hiverson Lopez,CLE,,,,,,,,,,,,,
