Columbus Clippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Tim,,,,MLB,,,26,,Tax Bill Paid,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,26,,Years Paid,1,,Payroll,,"255,752,309","169,452,309","131,139,809","85,539,809","85,539,809","73,164,809","73,164,809","73,164,809","27,083,333","27,083,333",0,0,0
,,,,Franchise Record,,,63-52,,,,Minors,,,28,,Status,2024,,Dead Money,,"19,000,000",0.00,0.00,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,5,,Future Status,,,Total Payroll,,"274,752,309","169,452,309","131,139,809","85,539,809","85,539,809","73,164,809","73,164,809","73,164,809","27,083,333","27,083,333",0,0,0
,,,,AL East Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"-33,752,309","74,547,691","112,860,191","158,460,191","158,460,191","170,835,191","170,835,191","170,835,191","216,916,667","216,916,667","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,93.08%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,6.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Salvador Perez,KC,"13,500,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,C,Mitch Garver,SEA,"12,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,1B,Michael Toglia,COL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Yandy Diaz,TB,"12,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Christopher Morel,CHC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Tommy Edman,LAD,"12,375,000","12,375,000","12,375,000","12,375,000","12,375,000",,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Edouard Julien,MIN,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Jacob Wilson,OAK,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,3B,Bobby Dalbec,BOS,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Royce Lewis,MIN,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Mike Tauchman,CHW,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Cody Bellinger,CHC,"26,666,667",UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Ian Happ,CHC,"20,333,333",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Daulton Varsho,TOR,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Brenton Doyle,COL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Andrew Benintendi,CHW,"15,000,000","15,000,000",UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Shohei Ohtani,LAD,"46,081,476","46,081,476","46,081,476","46,081,476","46,081,476","46,081,476","46,081,476","46,081,476",UFA,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Yoshinobu Yamamoto,LAD,"27,083,333","27,083,333","27,083,333","27,083,333","27,083,333","27,083,333","27,083,333","27,083,333","27,083,333","27,083,333",UFA,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Ryan Feltner,COL,"6,000,000","6,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Kodai Senga,NYM,"15,000,000","15,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Tyler Glasnow,LAD,"27,312,500","27,312,500","30,000,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Andres Munoz,SEA,"6,000,000","8,000,000","10,000,000",UFA,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Justin Lawrence,COL,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,RP,Yuki Matsui,SD,"5,600,000","5,600,000","5,600,000",UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Nick Mears,COL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
